Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,Result_Encoded,Home_Last_5_Points,Away_Last_5_Points,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws
2014,Geeska Afrika FC,Raadsan FC,3,1,2,-2,0,2,1,0,8,1,4,4,1,1
2014,Jazeera SC,Midnimo FC,2,3,-1,1,1,3,-1,3,9,1,4,4,1,3
2014,Gasko FC,Raadsan FC,0,4,-4,4,3,2,-1,9,8,1,3,3,1,0
2014,Midnimo FC,Raadsan FC,4,3,1,-1,2,2,1,7,8,2,4,4,2,1
2014,Jazeera SC,Jamhuuriya FC,1,2,-1,1,1,1,-1,3,3,3,1,1,3,0
2014,Jamhuuriya FC,Midnimo FC,1,1,0,0,1,3,0,5,9,1,1,1,1,2
2014,Jazeera SC,Geeska Afrika FC,3,2,1,-1,1,1,1,3,4,3,0,0,3,1
2014,Jamhuuriya FC,Geeska Afrika FC,1,3,-2,2,1,1,-1,5,4,1,2,2,1,1
2014,Jazeera SC,Gasko FC,2,0,2,-2,1,0,1,3,1,4,0,0,4,0
2014,Geeska Afrika FC,Midnimo FC,3,2,1,-1,0,3,1,0,9,2,4,4,2,0
2014,Jamhuuriya FC,Gasko FC,3,1,2,-2,1,0,1,5,1,3,1,1,3,0
2014,Raadsan FC,Jazeera SC,1,2,-1,1,2,0,-1,8,1,3,1,1,3,1
2014,Gasko FC,Geeska Afrika FC,2,1,1,-1,3,1,1,9,4,3,1,1,3,0
2014,Raadsan FC,Jamhuuriya FC,3,2,1,-1,2,1,1,8,3,2,2,2,2,0
2014,Gasko FC,Midnimo FC,0,5,-5,5,3,3,-1,9,9,0,2,2,0,2
2014,Raadsan FC,Geeska Afrika FC,3,1,2,-2,2,1,1,8,4,4,1,1,4,1
2014,Midnimo FC,Jazeera SC,2,2,0,0,2,0,0,7,1,4,1,1,4,3
2014,Raadsan FC,Gasko FC,3,2,1,-1,2,0,1,8,1,3,1,1,3,0
2014,Raadsan FC,Midnimo FC,1,7,-6,6,2,3,-1,8,9,4,2,2,4,1
2014,Jamhuuriya FC,Jazeera SC,2,3,-1,1,1,0,-1,5,1,1,3,3,1,0
2014,Midnimo FC,Jamhuuriya FC,9,2,7,-7,2,1,1,7,3,1,1,1,1,2
2014,Geeska Afrika FC,Jazeera SC,1,3,-2,2,0,0,-1,0,1,0,3,3,0,1
2014,Geeska Afrika FC,Jamhuuriya FC,2,1,1,-1,0,1,1,0,3,2,1,1,2,1
2014,Gasko FC,Jazeera SC,0,1,-1,1,3,0,-1,9,1,0,4,4,0,0
2014,Midnimo FC,Geeska Afrika FC,5,2,3,-3,2,1,1,7,4,4,2,2,4,0
2014,Horseed SC,Elman FC,2,3,-1,1,3,1,-1,11,5,6,6,6,6,5
2014,Gasko FC,Jamhuuriya FC,4,1,3,-3,3,1,1,9,3,1,3,3,1,0
2014,Jazeera SC,Raadsan FC,0,2,-2,2,1,2,-1,3,8,1,3,3,1,1
2014,Jeenyo FC,Heegan SC,1,3,-2,2,3,3,-1,9,11,2,7,7,2,7
2014,SomaliFruit FC,Dekedda SC,3,1,2,-2,1,3,1,4,10,2,0,0,2,0
2014,Mogadishu City Club,Gaadiidka FC,1,1,0,0,3,3,0,11,9,12,1,1,12,2
2014,Batroolka FC,Sahafi FC,2,3,-1,1,0,0,-1,1,1,0,2,2,0,0
2014,Heegan SC,Horseed SC,4,0,4,-4,2,4,1,7,13,6,3,3,6,8
2014,Elman FC,Dekedda SC,1,1,0,0,1,3,0,3,10,7,7,7,7,3
2014,Jeenyo FC,Gaadiidka FC,4,2,2,-2,3,3,1,9,9,4,6,6,4,4
2015,Sahafi FC,SomaliFruit FC,2,0,2,-2,1,1,1,5,4,4,0,0,4,0
2015,Mogadishu City Club,Batroolka FC,3,0,3,-3,3,1,1,11,3,5,0,0,5,1
2015,Horseed SC,Dekedda SC,0,1,-1,1,3,3,-1,11,10,6,4,4,6,7
2015,Heegan SC,Gaadiidka FC,1,0,1,-1,2,3,1,7,9,12,1,1,12,2
2015,Elman FC,Sahafi FC,0,2,-2,2,1,0,-1,3,1,4,2,2,4,0
2015,Jeenyo FC,Batroolka FC,4,1,3,-3,3,1,1,9,3,4,0,0,4,2
2015,SomaliFruit FC,Mogadishu City Club,1,2,-1,1,1,1,-1,4,6,0,2,2,0,0
2015,Gaadiidka FC,Horseed SC,0,1,-1,1,0,4,-1,1,13,4,8,8,4,4
2015,Dekedda SC,Sahafi FC,2,1,1,-1,1,0,1,5,1,4,0,0,4,2
2015,Batroolka FC,Heegan SC,0,4,-4,4,0,3,-1,1,11,0,6,6,0,0
