date,home,score,away,home_score,away_score
13/04/2018 , Horseed S.C ,0 : 0, Gaadiidka FC ,0.0,0.0
14/04/2018 , Madbacadda FC ,1 : 2, Waxool FC ,1.0,2.0
15/04/2018 , Heegan S.C ,3 : 0, Batroolka FC ,3.0,0.0
16/04/2018 , Mogadishu City Club ,0 : 0, Dekedda SC ,0.0,0.0
17/04/2018 , Horseed S.C ,0 : 0, Jeenyo  FC ,0.0,0.0
18/04/2018 , Madbacadda FC ,1 : 1, Elman FC ,1.0,1.0
19/04/2018 , Heegan S.C ,3 : 1, Gaadiidka FC ,3.0,1.0
20/04/2018 , Batroolka FC ,1 : 2, Waxool FC ,1.0,2.0
21/04/2018 , Dekedda SC ,2 : 2, Horseed S.C ,2.0,2.0
22/04/2018 , Madbacadda FC ,2 : 2, Mogadishu City Club ,2.0,2.0
23/04/2018 , Heegan S.C ,4 : 1, Jeenyo  FC ,4.0,1.0
24/04/2018 , Batroolka FC ,1 : 2, Mogadishu City Club ,1.0,2.0
25/04/2018 , Waxool FC ,1 : 2, Jeenyo  FC ,1.0,2.0
26/04/2018 , Gaadiidka FC ,1 : 2, Mogadishu City Club ,1.0,2.0
27/04/2018 , Batroolka FC ,2 : 2, Elman FC ,2.0,2.0
28/04/2018 , Jeenyo  FC ,1 : 2, Mogadishu City Club ,1.0,2.0
29/04/2018 , Heegan S.C ,1 : 0, Horseed S.C ,1.0,0.0
30/04/2018 , Gaadiidka FC ,2 : 2, Elman FC ,2.0,2.0
01/05/2018 , Batroolka FC ,1 : 4, Madbacadda FC ,1.0,4.0
02/05/2018 , Dekedda SC ,1 : 1, Heegan S.C ,1.0,1.0
03/05/2018 , Waxool FC ,1 : 3, Gaadiidka FC ,1.0,3.0
04/05/2018 , Elman FC ,2 : 1, Jeenyo  FC ,2.0,1.0
05/05/2018 , Madbacadda FC ,0 : 5, Dekedda SC ,0.0,5.0
06/05/2018 , Waxool FC ,1 : 4, Horseed S.C ,1.0,4.0
08/05/2018 , Gaadiidka FC ,4 : 1, Madbacadda FC ,4.0,1.0
09/05/2018 , Batroolka FC ,1 : 6, Dekedda SC ,1.0,6.0
10/05/2018 , Elman FC ,2 : 3, Horseed S.C ,2.0,3.0
11/05/2018 , Waxool FC ,0 : 7, Heegan S.C ,0.0,7.0
07/02/2019 , Dekedda SC ,1 : 1, Gaadiidka FC ,1.0,1.0
08/02/2019 , Jeenyo  FC ,1 : 0, Mogadishu City Club ,1.0,0.0
11/02/2019 , Heegan S.C ,1 : 0, Madbacadda FC ,1.0,0.0
12/02/2019 , Jazeera SC ,0 : 1, Midnimo FC ,0.0,1.0
13/02/2019 , Horseed S.C ,0 : 0, Elman FC ,0.0,0.0
14/02/2019 , Jeenyo  FC ,2 : 8, Dekedda SC ,2.0,8.0
15/02/2019 , Gaadiidka FC ,0 : 0, Madbacadda FC ,0.0,0.0
18/02/2019 , Mogadishu City Club ,1 : 1, Midnimo FC ,1.0,1.0
19/02/2019 , Heegan S.C ,1 : 3, Elman FC ,1.0,3.0
20/02/2019 , Jazeera SC ,1 : 1, Horseed S.C ,1.0,1.0
21/02/2019 , Dekedda SC ,1 : 0, Madbacadda FC ,1.0,0.0
22/02/2019 , Jeenyo  FC ,0 : 1, Midnimo FC ,0.0,1.0
25/02/2019 , Gaadiidka FC ,1 : 3, Elman FC ,1.0,3.0
26/02/2019 , Mogadishu City Club ,1 : 2, Horseed S.C ,1.0,2.0
27/02/2019 , Heegan S.C ,3 : 0, Jazeera SC ,3.0,0.0
28/02/2019 , Midnimo FC ,0 : 2, Dekedda SC ,0.0,2.0
01/03/2019 , Madbacadda FC ,1 : 0, Elman FC ,1.0,0.0
03/03/2019 , Jeenyo  FC ,0 : 4, Horseed S.C ,0.0,4.0
05/03/2019 , Gaadiidka FC ,0 : 1, Jazeera SC ,0.0,1.0
06/03/2019 , Mogadishu City Club ,1 : 0, Heegan S.C ,1.0,0.0
07/03/2019 , Dekedda SC ,1 : 0, Elman FC ,1.0,0.0
08/03/2019 , Midnimo FC ,0 : 2, Horseed S.C ,0.0,2.0
11/03/2019 , Madbacadda FC ,1 : 2, Jazeera SC ,1.0,2.0
12/03/2019 , Jeenyo  FC ,0 : 2, Heegan S.C ,0.0,2.0
13/03/2019 , Gaadiidka FC ,1 : 2, Mogadishu City Club ,1.0,2.0
14/03/2019 , Horseed S.C ,1 : 0, Dekedda SC ,1.0,0.0
15/03/2019 , Elman FC ,3 : 2, Jazeera SC ,3.0,2.0
18/03/2019 , Midnimo FC ,1 : 3, Heegan S.C ,1.0,3.0
19/03/2019 , Madbacadda FC ,1 : 4, Mogadishu City Club ,1.0,4.0
20/03/2019 , Jeenyo  FC ,2 : 4, Gaadiidka FC ,2.0,4.0
21/03/2019 , Dekedda SC ,2 : 1, Jazeera SC ,2.0,1.0
22/03/2019 , Horseed S.C ,0 : 1, Heegan S.C ,0.0,1.0
25/03/2019 , Elman FC ,1 : 1, Mogadishu City Club ,1.0,1.0
26/03/2019 , Midnimo FC ,0 : 2, Gaadiidka FC ,0.0,2.0
27/03/2019 , Madbacadda FC ,2 : 1, Jeenyo  FC ,2.0,1.0
28/03/2019 , Heegan S.C ,1 : 1, Dekedda SC ,1.0,1.0
29/03/2019 , Jazeera SC ,2 : 5, Mogadishu City Club ,2.0,5.0
01/04/2019 , Horseed S.C ,6 : 0, Gaadiidka FC ,6.0,0.0
02/04/2019 , Elman FC ,3 : 1, Jeenyo  FC ,3.0,1.0
03/04/2019 , Midnimo FC ,1 : 0, Madbacadda FC ,1.0,0.0
04/04/2019 , Dekedda SC ,1 : 0, Mogadishu City Club ,1.0,0.0
04/04/2019 , Heegan S.C ,4 : 0, Gaadiidka FC ,4.0,0.0
08/04/2019 , Jeenyo  FC ,0 : 1, Jazeera SC ,0.0,1.0
09/04/2019 , Horseed S.C ,4 : 0, Madbacadda FC ,4.0,0.0
10/04/2019 , Elman FC ,1 : 2, Midnimo FC ,1.0,2.0
22/04/2019 , Gaadiidka FC ,0 : 4, Dekedda SC ,0.0,4.0
23/04/2019 , Jeenyo  FC ,0 : 4, Mogadishu City Club ,0.0,4.0
24/04/2019 , Madbacadda FC ,3 : 4, Heegan S.C ,3.0,4.0
25/04/2019 , Midnimo FC ,2 : 2, Jazeera SC ,2.0,2.0
26/04/2019 , Elman FC ,2 : 1, Horseed S.C ,2.0,1.0
29/04/2019 , Dekedda SC ,4 : 1, Jeenyo  FC ,4.0,1.0
30/04/2019 , Madbacadda FC ,0 : 2, Gaadiidka FC ,0.0,2.0
02/05/2019 , Elman FC ,2 : 1, Heegan S.C ,2.0,1.0
