Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Result_Encoded,Home_Form,Away_Form
2014, Horseed S.C , Gaadiidka FC ,3,2,1,-1,1,1,0,0,0,0,1,1,11.0,9.0
2014, Elman FC , Heegan S.C ,2,2,0,0,3,3,0,0,0,0,0,0,3.0,11.0
2014, Jeenyo  FC , Mogadishu City Club ,1,1,0,0,3,4,1,0,0,1,2,0,9.0,6.0
2014, Horseed S.C , Batroolka FC ,6,1,5,-5,2,0,0,0,0,0,0,1,11.0,3.0
2014, Gaadiidka FC , Dekedda SC ,0,0,0,0,1,1,0,0,0,0,1,0,1.0,10.0
2014, Heegan S.C , Jeenyo  FC ,1,1,0,0,2,2,0,0,0,0,1,0,7.0,2.0
2014, Horseed S.C , Elman FC ,1,1,0,0,3,2,0,1,1,0,1,0,11.0,5.0
2014, Gaadiidka FC , Mogadishu City Club ,1,2,-1,1,1,3,0,1,1,0,0,-1,1.0,6.0
2014, Dekedda SC , Batroolka FC ,1,2,-1,1,1,0,0,0,0,0,0,-1,5.0,3.0
2014, Horseed S.C , Heegan S.C ,3,3,0,0,2,1,0,2,2,0,1,0,11.0,11.0
2014, Gaadiidka FC , Jeenyo  FC ,3,1,2,-2,1,2,0,1,1,0,0,1,1.0,2.0
2014, Dekedda SC , Elman FC ,0,3,-3,3,1,2,0,2,2,0,0,-1,5.0,5.0
2014, Batroolka FC , Mogadishu City Club ,1,7,-6,6,1,4,0,1,1,0,0,-1,1.0,6.0
2014, Geeska Afrika FC , Gasko FC ,0,1,-1,1,1,1,1,1,1,1,0,-1,0.0,1.0
2014, , Jazeera SC ,2,6,-4,4,0,2,0,1,1,0,0,-1,1.0,1.0
2014, Jamhuuriya FC , Raadsan FC ,3,0,3,-3,4,3,0,0,0,0,0,1,5.0,8.0
2014, Midnimo FC , Gasko FC ,3,0,3,-3,0,2,0,0,0,0,2,1,7.0,1.0
2014, Geeska Afrika FC , Raadsan FC ,3,1,2,-2,1,3,0,0,0,0,1,1,0.0,8.0
2014, Jamhuuriya FC , ,6,2,4,-4,4,0,1,0,0,1,0,1,5.0,2.0
2014, Jazeera SC , Midnimo FC ,2,3,-1,1,3,1,1,0,0,1,1,-1,3.0,9.0
2014, Gasko FC , Raadsan FC ,0,4,-4,4,2,2,1,1,1,1,0,-1,9.0,8.0
2014, Geeska Afrika FC , ,2,1,1,-1,2,0,1,0,0,1,1,1,0.0,2.0
