Season,Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins
2014,2014-11-07, Midnimo FC , ,5,0,5,-5,Win,3,0
2014,2014-11-09, Jamhuuriya FC , Geeska Afrika FC ,1,3,-2,2,Loss,4,2
2014,2014-11-11, Jazeera SC , Gasko FC ,2,0,2,-2,Win,2,3
2014,2014-11-13, Geeska Afrika FC , Midnimo FC ,3,2,1,-1,Win,3,4
2014,2014-11-14, Jamhuuriya FC , Gasko FC ,3,1,2,-2,Win,3,2
2014,2014-11-16, Raadsan FC , Jazeera SC ,1,2,-1,1,Loss,2,3
2014,2014-11-18, Gasko FC , Geeska Afrika FC ,2,1,1,-1,Win,1,4
2014,2014-11-20, Jazeera SC , ,1,1,0,0,Draw,3,0
2014,2014-11-21, Raadsan FC , Jamhuuriya FC ,3,2,1,-1,Win,2,3
2014,2014-11-23, Gasko FC , Midnimo FC ,0,5,-5,5,Loss,2,3
2014,2014-11-25, Raadsan FC , Geeska Afrika FC ,3,1,2,-2,Win,3,3
2014,2014-11-27, Jamhuuriya FC , ,0,0,0,0,Draw,2,0
2014,2014-11-28, Midnimo FC , Jazeera SC ,2,2,0,0,Draw,3,3
2014,2014-11-30, Raadsan FC , Gasko FC ,3,2,1,-1,Win,3,2
2014,2014-12-02, , Geeska Afrika FC ,1,3,-2,2,Loss,0,2
2014,2014-12-04, Raadsan FC , Midnimo FC ,1,7,-6,6,Loss,4,2
2014,2014-12-05, Jamhuuriya FC , Jazeera SC ,2,3,-1,1,Loss,1,3
2014,2014-12-07, , Gasko FC ,2,2,0,0,Draw,0,1
2014,2014-12-09, Midnimo FC , Jamhuuriya FC ,9,2,7,-7,Win,3,1
2014,2014-12-11, , Raadsan FC ,3,4,-1,1,Loss,0,3
2014,2014-12-12, Geeska Afrika FC , Jazeera SC ,1,3,-2,2,Loss,3,3
2014,2014-12-14, , Midnimo FC ,1,12,-11,11,Loss,0,3
2014,2014-12-16, Geeska Afrika FC , Jamhuuriya FC ,2,1,1,-1,Win,2,1
2014,2014-12-18, Gasko FC , Jazeera SC ,0,1,-1,1,Loss,1,3
2014,2014-12-19, Midnimo FC , Geeska Afrika FC ,5,2,3,-3,Win,4,2
2014,2014-12-19, Horseed S.C , Elman FC ,2,3,-1,1,Loss,2,3
2014,2014-12-20, Gasko FC , Jamhuuriya FC ,4,1,3,-3,Win,1,0
2014,2014-12-21, Jazeera SC , Raadsan FC ,0,2,-2,2,Loss,3,4
2014,2014-12-21, Jeenyo  FC , Heegan S.C ,1,3,-2,2,Loss,1,1
2014,2014-12-22, SomaliFruit FC , Dekedda SC ,3,1,2,-2,Win,3,0
2014,2014-12-23, Mogadishu City Club , Gaadiidka FC ,1,1,0,0,Draw,4,1
2014,2014-12-25, Batroolka FC , Sahafi FC ,2,3,-1,1,Loss,1,4
2014,2014-12-26, Heegan S.C , Horseed S.C ,4,0,4,-4,Win,1,2
2014,2014-12-29, Elman FC , Dekedda SC ,1,1,0,0,Draw,3,0
2014,2014-12-30, Jeenyo  FC , Gaadiidka FC ,4,2,2,-2,Win,0,1
2015,2015-01-01, Sahafi FC , SomaliFruit FC ,2,0,2,-2,Win,4,4
2015,2015-01-02, Mogadishu City Club , Batroolka FC ,3,0,3,-3,Win,3,1
2015,2015-01-05, Horseed S.C , Dekedda SC ,0,1,-1,1,Loss,1,0
2015,2015-01-06, Heegan S.C , Gaadiidka FC ,1,0,1,-1,Win,2,1
2015,2015-01-08, Elman FC , Sahafi FC ,0,2,-2,2,Loss,2,4
2015,2015-01-09, Jeenyo  FC , Batroolka FC ,4,1,3,-3,Win,1,1
2015,2015-01-12, SomaliFruit FC , Mogadishu City Club ,1,2,-1,1,Loss,3,3
2015,2015-01-15, Gaadiidka FC , Horseed S.C ,0,1,-1,1,Loss,1,0
2015,2015-01-16, Dekedda SC , Sahafi FC ,2,1,1,-1,Win,1,4
2015,2015-01-19, Batroolka FC , Heegan S.C ,0,4,-4,4,Loss,1,3
2015,2015-01-22, Mogadishu City Club , Elman FC ,1,1,0,0,Draw,4,2
2015,2015-01-23, Jeenyo  FC , SomaliFruit FC ,5,0,5,-5,Win,2,3
2015,2015-01-26, Horseed S.C , Sahafi FC ,2,1,1,-1,Win,1,4
2015,2015-01-27, Gaadiidka FC , Batroolka FC ,3,0,3,-3,Win,1,0
2015,2015-01-29, Dekedda SC , Mogadishu City Club ,0,2,-2,2,Loss,2,3
2015,2015-01-30, SomaliFruit FC , Heegan S.C ,1,8,-7,7,Loss,2,4
2015,2015-02-02, Elman FC , Jeenyo  FC ,1,1,0,0,Draw,2,3
2015,2015-02-05, Batroolka FC , Horseed S.C ,2,2,0,0,Draw,0,2
2015,2015-02-06, Sahafi FC , Mogadishu City Club ,0,0,0,0,Draw,3,3
2015,2015-02-19, Dekedda SC , Jeenyo  FC ,0,1,-1,1,Loss,2,3
2015,2015-02-20, Elman FC , Heegan S.C ,1,0,1,-1,Win,1,5
2015,2015-02-22, Horseed S.C , Mogadishu City Club ,0,2,-2,2,Loss,2,3
